,createdAt,platformId,platformCode,channelId,channelCode,deviceCategory,total,tax,delivery,revenue,profit,quantity
0,2020-01-02,308_adwords,AdWords,308_adwords_bra,adwords_bra,desktop,1976,415,232,1686,0.0,4
1,2020-01-02,308_adwords,AdWords,308_adwords_bra,adwords_bra,mobile,4129,867,257,3895,0.0,7
2,2020-01-02,308_adwords,AdWords,308_adwords_pla,adwords_pla,desktop,50286,10560,2521,48269,0.0,119
3,2020-01-02,308_adwords,AdWords,308_adwords_pla,adwords_pla,mobile,13214,2776,953,12149,0.0,16
4,2020-01-02,308_adwords,AdWords,308_adwords_pla,adwords_pla,tablet,338,71,116,187,0.0,1
5,2020-01-02,308_adwords,AdWords,308_adwords_rem,adwords_rem,desktop,3125,657,373,2681,0.0,8
6,2020-01-02,308_heurekacz,HeurekaCz,308_heureka,heureka,desktop,16256,3414,1031,15131,0.0,4
7,2020-01-02,308_notset,notset,308_direct,direct,desktop,23319,4897,605,23697,0.0,49
8,2020-01-02,308_notset,notset,308_direct,direct,mobile,1873,394,257,1591,0.0,6
9,2020-01-02,308_notset,notset,308_facebook,facebook,mobile,1234,259,116,1082,0.0,1
10,2020-01-02,308_notset,notset,308_notset,notset,desktop,3780,794,257,3488,0.0,2
11,2020-01-02,308_notset,notset,308_organic,organic,desktop,24319,5105,770,24122,0.0,28
12,2020-01-02,308_notset,notset,308_organic,organic,mobile,4700,987,259,4452,0.0,4
13,2020-01-02,308_notset,notset,308_referral,referral,desktop,968,203,116,816,0.0,1
14,2020-01-02,308_rtbhouse,RtbHouse,308_rtbhouse,rtbhouse,mobile,1234,259,116,1082,0.0,1
15,2020-01-02,308_silverpop,Silverpop,308_emailing,emailing,desktop,49622,10422,2338,48495,0.0,66
16,2020-01-02,308_silverpop,Silverpop,308_emailing,emailing,mobile,5359,1125,400,5118,0.0,7
17,2020-01-02,308_sklik,Sklik,308_sklik_bra,sklik_bra,desktop,11075,2327,489,11119,0.0,45
18,2020-01-02,308_sklik,Sklik,308_sklik_sea,sklik_sea,desktop,2348,493,116,2196,0.0,3
19,2020-01-02,308_sklik,Sklik,308_sklik_sea,sklik_sea,mobile,3758,789,116,3871,0.0,3
20,2020-01-02,308_zbozicz,ZboziCz,308_zbozi,zbozi,desktop,996,209,116,845,0.0,1
21,2020-01-03,308_adwords,AdWords,308_adwords_bra,adwords_bra,desktop,31193,6550,464,31209,0.0,26
22,2020-01-03,308_adwords,AdWords,308_adwords_bra,adwords_bra,mobile,275,58,0,275,0.0,2
23,2020-01-03,308_adwords,AdWords,308_adwords_bra,adwords_bra,tablet,3678,772,116,3561,0.0,9
24,2020-01-03,308_adwords,AdWords,308_adwords_pla,adwords_pla,desktop,26764,5620,1185,25484,0.0,30
25,2020-01-03,308_adwords,AdWords,308_adwords_pla,adwords_pla,mobile,18964,3983,1376,18019,0.0,18
26,2020-01-03,308_adwords,AdWords,308_adwords_rem,adwords_rem,tablet,697,146,116,546,0.0,4
27,2020-01-03,308_notset,notset,308_direct,direct,desktop,19355,4065,548,19670,0.0,14
28,2020-01-03,308_notset,notset,308_direct,direct,mobile,1154,242,116,1002,0.0,2
29,2020-01-03,308_notset,notset,308_internal,internal,desktop,832,175,116,716,0.0,1
30,2020-01-03,308_notset,notset,308_organic,organic,desktop,11016,2313,464,10755,0.0,21
31,2020-01-03,308_notset,notset,308_organic,organic,mobile,3322,698,232,3119,0.0,15
32,2020-01-03,308_notset,notset,308_referral,referral,desktop,3637,764,0,3690,0.0,14
33,2020-01-03,308_rtbhouse,RtbHouse,308_rtbhouse,rtbhouse,desktop,3106,652,232,2815,0.0,7
34,2020-01-03,308_silverpop,Silverpop,308_emailing,emailing,desktop,91595,19235,3880,90074,0.0,110
35,2020-01-03,308_silverpop,Silverpop,308_emailing,emailing,mobile,2007,422,141,1831,0.0,4
36,2020-01-03,308_silverpop,Silverpop,308_emailing,emailing,tablet,13025,2735,611,13183,0.0,12
37,2020-01-03,308_sklik,Sklik,308_sklik_bra,sklik_bra,desktop,20404,4284,913,20764,0.0,14
38,2020-01-03,308_sklik,Sklik,308_sklik_bra,sklik_bra,mobile,961,202,116,845,0.0,1
39,2020-01-03,308_sklik,Sklik,308_sklik_sea,sklik_sea,tablet,1324,278,116,1173,0.0,2
40,2020-01-04,308_adwords,AdWords,308_adwords_bra,adwords_bra,desktop,4648,977,432,4168,0.0,10
41,2020-01-04,308_adwords,AdWords,308_adwords_bra,adwords_bra,mobile,1827,384,116,1757,0.0,2
42,2020-01-04,308_adwords,AdWords,308_adwords_pla,adwords_pla,desktop,4317,907,605,3686,0.0,9
43,2020-01-04,308_adwords,AdWords,308_adwords_pla,adwords_pla,mobile,24919,5233,1674,23825,0.0,16
44,2020-01-04,308_adwords,AdWords,308_adwords_pla,adwords_pla,tablet,338,71,116,187,0.0,1
45,2020-01-04,308_adwords,AdWords,308_adwords_rem,adwords_rem,desktop,2537,533,141,2407,0.0,2
46,2020-01-04,308_notset,notset,308_direct,direct,desktop,2031,427,232,1809,0.0,11
47,2020-01-04,308_notset,notset,308_internal,internal,desktop,1472,294,116,1367,0.0,2
48,2020-01-04,308_notset,notset,308_organic,organic,desktop,7296,1532,373,6816,0.0,19
49,2020-01-04,308_notset,notset,308_organic,organic,mobile,3900,819,0,3900,0.0,1
50,2020-01-04,308_notset,notset,308_organic,organic,tablet,703,148,116,551,0.0,1
51,2020-01-04,308_notset,notset,308_referral,referral,desktop,992,208,0,992,0.0,1
52,2020-01-04,308_rtbhouse,RtbHouse,308_rtbhouse,rtbhouse,desktop,16773,3177,837,15914,0.0,29
53,2020-01-04,308_rtbhouse,RtbHouse,308_rtbhouse,rtbhouse,mobile,10060,2113,141,10588,0.0,7
54,2020-01-04,308_silverpop,Silverpop,308_emailing,emailing,desktop,84424,17727,3812,83870,0.0,62
55,2020-01-04,308_silverpop,Silverpop,308_emailing,emailing,mobile,993,208,141,816,0.0,1
56,2020-01-04,308_silverpop,Silverpop,308_emailing,emailing,tablet,3676,772,259,3612,0.0,2
57,2020-01-04,308_sklik,Sklik,308_sklik_bra,sklik_bra,desktop,2004,421,257,1756,0.0,9
58,2020-01-04,308_sklik,Sklik,308_sklik_bra,sklik_bra,mobile,2639,554,116,2533,0.0,4
59,2020-01-04,308_sklik,Sklik,308_sklik_bra,sklik_bra,tablet,614,129,116,463,0.0,1
60,2020-01-04,308_sklik,Sklik,308_sklik_pla,sklik_pla,desktop,1873,393,232,1604,0.0,6
61,2020-01-04,308_zbozicz,ZboziCz,308_zbozi,zbozi,desktop,1996,419,141,1873,0.0,2
62,2020-01-05,308_adwords,AdWords,308_adwords_bra,adwords_bra,desktop,18896,3969,464,19140,0.0,28
63,2020-01-05,308_adwords,AdWords,308_adwords_bra,adwords_bra,mobile,3058,642,116,2987,0.0,3
64,2020-01-05,308_adwords,AdWords,308_adwords_bra,adwords_bra,tablet,7501,1575,232,7473,0.0,9
65,2020-01-05,308_adwords,AdWords,308_adwords_pla,adwords_pla,desktop,11008,2312,952,10009,0.0,14
66,2020-01-05,308_adwords,AdWords,308_adwords_pla,adwords_pla,mobile,6580,1382,1276,5124,0.0,15
67,2020-01-05,308_adwords,AdWords,308_adwords_pla,adwords_pla,tablet,18542,3894,488,19072,0.0,14
68,2020-01-05,308_adwords,AdWords,308_adwords_rem,adwords_rem,mobile,1055,222,116,904,0.0,1
69,2020-01-05,308_notset,notset,308_direct,direct,desktop,9235,1940,232,9244,0.0,16
70,2020-01-05,308_notset,notset,308_internal,internal,mobile,3803,1027,116,3916,0.0,10
71,2020-01-05,308_notset,notset,308_organic,organic,desktop,10281,2160,721,9381,0.0,11
72,2020-01-05,308_notset,notset,308_organic,organic,mobile,2164,454,232,1942,0.0,3
73,2020-01-05,308_notset,notset,308_referral,referral,desktop,2505,526,116,2388,0.0,5
74,2020-01-05,308_notset,notset,308_referral,referral,mobile,1819,382,141,1688,0.0,6
75,2020-01-05,308_rtbhouse,RtbHouse,308_rtbhouse,rtbhouse,desktop,12527,2093,605,11862,0.0,17
76,2020-01-05,308_rtbhouse,RtbHouse,308_rtbhouse,rtbhouse,mobile,3458,726,316,3071,0.0,2
77,2020-01-05,308_silverpop,Silverpop,308_emailing,emailing,desktop,48242,10130,2389,46901,0.0,67
78,2020-01-05,308_silverpop,Silverpop,308_emailing,emailing,mobile,7194,1511,432,6933,0.0,9
79,2020-01-05,308_sklik,Sklik,308_sklik_bra,sklik_bra,desktop,3357,705,232,3135,0.0,7
80,2020-01-05,308_sklik,Sklik,308_sklik_bra,sklik_bra,mobile,34664,7279,1313,36221,0.0,10
81,2020-01-05,308_sklik,Sklik,308_sklik_pla,sklik_pla,tablet,1558,327,116,1452,0.0,10
82,2020-01-05,308_sklik,Sklik,308_sklik_rem,sklik_rem,tablet,1327,279,0,1327,0.0,1
83,2020-01-05,308_zbozicz,ZboziCz,308_zbozi,zbozi,desktop,1968,413,257,1653,0.0,6
84,2020-01-05,308_zbozicz,ZboziCz,308_zbozi,zbozi,mobile,521,109,116,369,0.0,2
85,2020-01-06,308_adwords,AdWords,308_adwords_bra,adwords_bra,desktop,84188,17679,3073,84833,0.0,145
86,2020-01-06,308_adwords,AdWords,308_adwords_bra,adwords_bra,mobile,4134,868,232,3831,0.0,11
87,2020-01-06,308_adwords,AdWords,308_adwords_pla,adwords_pla,desktop,22763,4780,1392,21367,0.0,25
88,2020-01-06,308_adwords,AdWords,308_adwords_pla,adwords_pla,mobile,38395,8061,2151,36689,0.0,42
89,2020-01-06,308_adwords,AdWords,308_adwords_rem,adwords_rem,desktop,1552,326,116,1401,0.0,1
90,2020-01-06,308_adwords,AdWords,308_adwords_sea,adwords_sea,desktop,243,51,116,92,0.0,2
91,2020-01-06,308_heurekacz,HeurekaCz,308_heureka,heureka,desktop,10067,2114,316,9715,0.0,2
92,2020-01-06,308_notset,notset,308_direct,direct,desktop,30070,6316,1500,29171,0.0,38
93,2020-01-06,308_notset,notset,308_direct,direct,mobile,2461,517,256,2222,0.0,5
94,2020-01-06,308_notset,notset,308_internal,internal,mobile,1356,258,141,1226,0.0,7
95,2020-01-06,308_notset,notset,308_notset,notset,desktop,1195,251,116,1044,0.0,1
96,2020-01-06,308_notset,notset,308_organic,organic,desktop,28769,6042,1412,28565,0.0,38
97,2020-01-06,308_notset,notset,308_referral,referral,desktop,8715,1830,348,8623,0.0,35
98,2020-01-06,308_notset,notset,308_referral,referral,mobile,5037,1058,232,4963,0.0,22
99,2020-01-06,308_rtbhouse,RtbHouse,308_rtbhouse,rtbhouse,desktop,9831,2065,457,9649,0.0,14
100,2020-01-06,308_silverpop,Silverpop,308_emailing,emailing,desktop,44444,9331,1880,43608,0.0,67
101,2020-01-06,308_silverpop,Silverpop,308_emailing,emailing,mobile,5645,1185,232,5387,0.0,6
102,2020-01-06,308_silverpop,Silverpop,308_emailing,emailing,tablet,2527,531,116,2421,0.0,6
103,2020-01-06,308_sklik,Sklik,308_sklik_bra,sklik_bra,desktop,22716,4770,464,23436,0.0,21
104,2020-01-06,308_sklik,Sklik,308_sklik_pla,sklik_pla,desktop,1184,249,116,1033,0.0,2
105,2020-01-06,308_sklik,Sklik,308_sklik_rem,sklik_rem,mobile,5276,1108,141,5329,0.0,43
106,2020-01-06,308_sklik,Sklik,308_sklik_sea,sklik_sea,desktop,3806,799,116,3654,0.0,2
107,2020-01-06,308_sklik,Sklik,308_sklik_sea,sklik_sea,mobile,7549,1585,116,7872,0.0,4
108,2020-01-06,308_zbozicz,ZboziCz,308_zbozi,zbozi,desktop,2273,477,232,2024,0.0,4
109,2020-01-06,308_zbozicz,ZboziCz,308_zbozi,zbozi,mobile,1791,376,232,1533,0.0,4
110,2020-01-07,308_adwords,AdWords,308_adwords_bra,adwords_bra,desktop,40949,8599,1495,40592,0.0,32
111,2020-01-07,308_adwords,AdWords,308_adwords_bra,adwords_bra,mobile,9536,2002,232,9989,0.0,13
112,2020-01-07,308_adwords,AdWords,308_adwords_pla,adwords_pla,desktop,23887,5016,1674,21904,0.0,52
113,2020-01-07,308_adwords,AdWords,308_adwords_pla,adwords_pla,mobile,13100,2750,657,12901,0.0,21
114,2020-01-07,308_adwords,AdWords,308_adwords_pla,adwords_pla,tablet,1933,406,116,1817,0.0,6
115,2020-01-07,308_adwords,AdWords,308_adwords_rem,adwords_rem,desktop,1810,380,116,1747,0.0,3
116,2020-01-07,308_heurekacz,HeurekaCz,308_heureka,heureka,desktop,19146,4021,375,19723,0.0,16
117,2020-01-07,308_notset,notset,308_direct,direct,desktop,72942,15318,1775,73981,0.0,97
118,2020-01-07,308_notset,notset,308_direct,direct,mobile,3429,720,116,3278,0.0,1
119,2020-01-07,308_notset,notset,308_notset,notset,desktop,939,197,0,951,0.0,2
120,2020-01-07,308_notset,notset,308_notset,notset,mobile,645,135,141,469,0.0,1
121,2020-01-07,308_notset,notset,308_organic,organic,desktop,52273,10977,804,55416,0.0,64
122,2020-01-07,308_notset,notset,308_organic,organic,mobile,5891,1238,464,5442,0.0,7
123,2020-01-07,308_notset,notset,308_organic,organic,tablet,381,80,116,229,0.0,1
124,2020-01-07,308_notset,notset,308_referral,referral,desktop,2468,518,141,2337,0.0,7
125,2020-01-07,308_rtbhouse,RtbHouse,308_rtbhouse,rtbhouse,desktop,4227,888,257,3898,0.0,2
126,2020-01-07,308_silverpop,Silverpop,308_emailing,emailing,desktop,50643,10633,1965,50048,0.0,80
127,2020-01-07,308_silverpop,Silverpop,308_emailing,emailing,mobile,691,145,116,575,0.0,1
128,2020-01-07,308_sklik,Sklik,308_sklik_bra,sklik_bra,desktop,12852,2700,1005,11671,0.0,29
129,2020-01-07,308_sklik,Sklik,308_sklik_pla,sklik_pla,desktop,882,185,232,614,0.0,2
130,2020-01-07,308_sklik,Sklik,308_sklik_rem,sklik_rem,desktop,3394,713,259,3153,0.0,2
131,2020-01-07,308_sklik,Sklik,308_sklik_sea,sklik_sea,mobile,7128,1497,0,7831,0.0,3
132,2020-01-08,308_adwords,AdWords,308_adwords_bra,adwords_bra,desktop,44420,9328,2757,43467,0.0,44
133,2020-01-08,308_adwords,AdWords,308_adwords_bra,adwords_bra,tablet,805,169,0,805,0.0,1
134,2020-01-08,308_adwords,AdWords,308_adwords_pla,adwords_pla,desktop,23322,4896,2137,20895,0.0,36
135,2020-01-08,308_adwords,AdWords,308_adwords_pla,adwords_pla,mobile,8978,1885,746,8297,0.0,12
136,2020-01-08,308_adwords,AdWords,308_adwords_sea,adwords_sea,desktop,893,188,141,717,0.0,2
137,2020-01-08,308_firmycz,FirmyCz,308_zbozi,zbozi,desktop,1314,276,116,1163,0.0,3
138,2020-01-08,308_notset,notset,308_direct,direct,desktop,50404,10518,1995,49957,0.0,37
139,2020-01-08,308_notset,notset,308_direct,direct,mobile,4632,973,397,4165,0.0,3
140,2020-01-08,308_notset,notset,308_notset,notset,desktop,5816,1221,116,5929,0.0,3
141,2020-01-08,308_notset,notset,308_organic,organic,desktop,17338,3641,972,17021,0.0,15
142,2020-01-08,308_notset,notset,308_organic,organic,mobile,1596,335,116,1444,0.0,1
143,2020-01-08,308_notset,notset,308_referral,referral,desktop,10722,2252,116,11421,0.0,14
144,2020-01-08,308_notset,notset,308_referral,referral,mobile,3035,637,116,2929,0.0,3
145,2020-01-08,308_rtbhouse,RtbHouse,308_rtbhouse,rtbhouse,desktop,42105,8841,1765,42550,0.0,18
